"","url","is_listing_deleted","brand","modele","address_particulier","address_pro","name_pro","V1","Année","Carrosserie","Energie","Kilométrage","Prix","Garantie mécanique","Nb de portes","Transmission","Consommation mixte","Emissions de CO2","Nombre de places","Puissance fiscale","Autres informations","Etat du véhicule","Puissance réelle","Contrôle technique","Couleur intérieur","Option equipement Sécurité","Option/Equipement Confort intérieur","Option/equipement extérieurs","Type de peinture carrosserie"
"52","https://www.paruvendu.fr/a/voiture-occasion/ford/fiesta/1230025196A1KVVOFOFIE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","https://www.paruvendu.fr/a/voiture-occasion/renault/clio/1229943515A1KVVORECLI",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","https://www.paruvendu.fr/a/voiture-occasion/fiat/500-l/1229941877A1KVVOFI50L",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","https://www.paruvendu.fr/a/voiture-occasion/fiat/500/1230025257A1KVVOFI500",0,"Fiat occasion","500","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Avril 2016
Assurance auto : Comparez","Berline","Essence","23 658
km","8 750 €","6 mois","2 portes avec hayon","Manuelle","4.9
litres / 100 km","115
g/km","4
places","4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","https://www.paruvendu.fr/a/voiture-occasion/peugeot/5008/1230025191A1KVVOPE5M8",0,"Peugeot occasion","5008","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Juin 2012
Assurance auto : Comparez","Monospace","Diesel","95 195
km","9 500 €","6 mois","4 portes avec hayon","Manuelle","5.2
litres / 100 km","135
g/km","5
places","6
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","https://www.paruvendu.fr/a/voiture-occasion/volkswagen/polo/1230025166A1KVVOVWPOL",0,"Volkswagen occasion","Polo","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Mars 2015
Assurance auto : Comparez","Berline","Diesel","51 630
km","10 600 €","6 mois","4 portes avec hayon","Manuelle","3.4
litres / 100 km","88
g/km","5
places","4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","https://www.paruvendu.fr/a/voiture-occasion/alfa-romeo/giulietta/1230025135A1KVVOALGIU",0,"Alfa Romeo occasion","Giulietta","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Février 2014
Assurance auto : Comparez","Berline","Diesel","103 891
km","10 750 €","6 mois","4 portes avec hayon","Manuelle","4.2
litres / 100 km","110
g/km","5
places","7
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","https://www.paruvendu.fr/a/voiture-occasion/fiat/500/1230025096A1KVVOFI500",0,"Fiat occasion","500","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Février 2017
Assurance auto : Comparez","Berline","Essence","28 156
km","10 990 €","6 mois","2 portes avec hayon","Manuelle","3.8
litres / 100 km","90
g/km","4
places","4
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","https://www.paruvendu.fr/a/voiture-occasion/citroen/berlingo/1230002237A1KVVOCIBER",0,"Citroën occasion","Berlingo","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
",NA,"Avril 2014
Assurance auto : Comparez","Monospace","Diesel","52 610
km","12 700 €","6 mois","4 portes avec hayon","Manuelle","5.1
litres / 100 km","134
g/km","5
places","6
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","https://www.paruvendu.fr/a/voiture-occasion/renault/megane/1229943542A1KVVOREMEG",0,"Renault occasion","Mégane","","
43 boulevard Malesherbes75008 Paris
","
KYUMP
","","Juin 2015
Assurance auto : Comparez","Berline","Diesel","38 335
km","12 990 €","6 mois","2 portes avec hayon","Manuelle",NA,NA,NA,"7
CV",NA,NA,NA,NA,NA,NA,NA,NA,NA
