url,brand,modele,name_pro,carrosserie,energie,etat_vehicule,transmission,controle_technique,couleur_interieur,type_peinture_carrosserie,Marque,all_city,code_region,nom_region,numero_departement,nom_departement,nom_commune,latitude,longitude,is_pro,date,pneus_hiver,barres_de_toit,premiere_main,non_fumeur,stationne_dans_garage,sous_garantie_constructeur,attelage,sous_garantie_autre_que_constructeur,cons_mixte_l_by_100km,emissions_co2_g_by_km,kilometrage_km,nb_portes,hayon,nb_places,prix_euros,puissance_fiscale_cv,puissance_reelle_ch,garantie_mecanique_mois,abs,esp,regulateur_vitesse,asr,alarme_antivol,direction_assistee,banquette_ar,radio_cd,fermeture_centralisee,vitres_electriques,allumage_auto_feux,peinture_metallisee,retroviseurs_electriques,roues_alliage_léger,fap,postal_codes
https://www.paruvendu.fr/a/voiture-occasion/peugeot/106/1228869195A1KVVOPE106,Peugeot,106,SN FORNES,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2001-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140379,4,1,NA,2900,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000
https://www.paruvendu.fr/a/voiture-occasion/fiat/punto/1229017763A1KVVOFIPUN,Fiat,Punto,SN FORNES,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2004-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150858,2,1,NA,2990,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000
https://www.paruvendu.fr/a/voiture-occasion/peugeot/207/1225279606A1KVVOPE207,Peugeot,207,SN FORNES,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2006-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203620,4,1,NA,4500,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000
https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1229904230A1KVVORETWI,Renault,Twingo,RENAULT Duverney Annemasse,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,ANNEMASSE,82,Rhône-Alpes,74,Haute-Savoie,Annemasse,462,625,1,2015-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73339,4,1,4,8290,4,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74100
https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1229637485A1KVVORETWI,Renault,Twingo,RENAULT Duverney Annemasse,Berline,Essence,NA,Manuelle,NA,NA,NA,NA,ANNEMASSE,82,Rhône-Alpes,74,Haute-Savoie,Annemasse,462,625,1,2015-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42708,4,1,4,8390,4,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74100
https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1229822223A1KVVOOPCOR,Opel,Corsa,RENAULT SACN Chauny,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,CHAUNY,22,Picardie,02,Aisne,Chauny,49616667,3216667,1,2015-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61857,4,1,5,8490,4,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02300
https://www.paruvendu.fr/a/voiture-occasion/renault/scenic-iii/1225985052A1KVVORESC3,Renault,Scénic III,SN FORNES,Break,Diesel,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139795,4,1,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000
https://www.paruvendu.fr/a/voiture-occasion/renault/megane-iii/1225985053A1KVVOREMG3,Renault,Mégane III,SN FORNES,Berline,Diesel,NA,Manuelle,NA,NA,NA,NA,FRANCE,NA,NA,NA,NA,NA,NA,NA,1,2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120300,4,1,NA,9490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000
https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1229822224A1KVVODCDUS,Dacia,Duster,RENAULT SACN Chauny,4x4 - SUV,Essence,NA,Manuelle,NA,NA,NA,NA,CHAUNY,22,Picardie,02,Aisne,Chauny,49616667,3216667,1,2016-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32529,4,1,5,10990,6,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02300
https://www.paruvendu.fr/a/voiture-occasion/renault/kangoo/1229789930A1KVVOREKAN,Renault,Kangoo,RENAULT Nouveaux Garages Lensois,Break,Diesel,NA,Manuelle,NA,NA,NA,NA,LOISON SOUS LENS,31,Nord-Pas-de-Calais,62,Pas-de-Calais,Loison-sous-Lens,50433333,2866667,1,2016-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36750,4,1,5,12690,5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62218
